g mag,r mag,g-r color
14.41808032989502,13.655848503112793,0.76223182678222656
17.45361328125,16.671680450439453,0.78193283081054688
17.035680770874023,16.532869338989258,0.50281143188476562
15.583044052124023,14.961605072021484,0.62143898010253906
15.513863563537598,14.775379180908203,0.73848438262939453
16.964916229248047,16.556949615478516,0.40796661376953125
17.065353393554688,16.570310592651367,0.49504280090332031
17.145462036132812,16.697328567504883,0.44813346862792969
16.133996963500977,15.287548065185547,0.84644889831542969
17.165342330932617,16.802900314331055,0.3624420166015625
14.76425838470459,13.937886238098145,0.82637214660644531
16.319847106933594,15.542010307312012,0.77783679962158203
16.06218719482422,15.436309814453125,0.62587738037109375
16.949989318847656,16.2545166015625,0.69547271728515625
15.215907096862793,14.422322273254395,0.79358482360839844
16.587932586669922,16.067951202392578,0.51998138427734375
